,Unnamed: 0,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
693,693,서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0,36,17000,380,133,1.7,2,2.9,14688,14688,14688,1368,1224,1007,10260,8532,5928,855,711,494,60,50,34
694,694,서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,630,183,1.1,1.4,2,23556,23556,23556,2194,1963,1617,16572,13800,9648,1381,1150,804,87,72,50
695,695,서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0,38,27000,580,116,4,5.2,9.6,13560,13560,13560,1263,1130,930,6804,5208,2808,567,434,234,25,19,10
696,696,서울 서대문구 00동,. , 35 개, . 개,. 대,. 만원, . , . ,9천,2호선 신촌역,-선택사항-     ,0,9000,35,0,0,39,9000,0,116,0.6,0.7,0.9,13920,13920,13920,1296,1160,955,14160,12528,10068,1180,1044,839,157,139,111
697,697,서울 마포구 00동,. , 50 개, . 개,. 대,. 만원, . , . ,2억4천5백,2호선 홍대입구역,-선택사항-     ,0,24500,50,0,0,40,24500,0,166,1.2,1.3,1.7,20400,20400,20400,1900,1700,1400,20808,18408,14808,1734,1534,1234,84,75,60
698,698,서울 구로구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,4억6천,7호선 가산디지털역,-선택사항-     ,0,46000,39,0,0,36,46000,0,130,3.2,3.6,4.5,14316,14316,14316,1333,1193,982,14436,12756,10224,1203,1063,852,31,27,22
699,699,서울 영등포구 00동,. , 40 개, . 개,. 대,. 만원, . , . ,1억1천,9호선 당산역,-선택사항-     ,0,11000,40,0,0,38,11000,0,133,0.7,0.8,1,15504,15504,15504,1444,1292,1064,15732,13908,11172,1311,1159,931,143,126,101
700,700,서울 강동구 00동,300, 60↓ 개,  개,00 대,5천 만원,330,0,1억2천,-선택사항- ,-선택사항-     ,5000,12000,60,330,0,38,12000,330,200,0.6,0.7,0.9,23256,23256,23256,2166,1938,1596,19632,16896,12792,1636,1408,1066,163,140,106
701,701,서울 강서구 00동,260,  개,  개,00 대,2000 만원,100, 사용량에 따라 부과 ,5000,-선택사항- ,-선택사항-     ,2000,5000,0,100,0,34,5000,100,100,0.5,0.6,0.8,10404,10404,10404,969,867,714,9228,8004,6168,769,667,514,184,160,123
702,702,서울 마포구 동교동,540, 50 개, 50 개,1 대,1억 만원,770,100,합4억3천,-선택사항- ,-선택사항-     ,10000,43000,50,770,100,40,43000,870,166,4.1,5.4,9.8,20400,20400,20400,1900,1700,1400,10368,7968,4368,864,664,364,24,18,10
703,703,서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,500,116,4.1,5.2,8.5,13560,13560,13560,1263,1130,930,7764,6168,3768,647,514,314,24,19,11
704,704,서울 강남구 00동,460, 48 개, 48 개,00 대,1억 만원,790,50,4억2천,-선택사항- ,-선택사항-     ,10000,42000,48,790,50,48,42000,840,160,2.9,3.7,5.7,23496,23496,23496,2188,1958,1612,14256,11496,7344,1188,958,612,33,27,17
705,705,서울 송파구 00동,290, 30 개, 30 개,00 대,4천 만원,390,50,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,50,42,23000,440,100,2.9,3.6,5.6,12852,12852,12852,1197,1071,882,7884,6372,4104,657,531,342,34,27,17
706,706,서울 성북구 00동,490, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50,37,32000,730,156,3.5,4.5,8.1,17736,17736,17736,1652,1478,1217,9192,7104,3972,766,592,331,28,22,12
707,707,서울 노원구 00동,280,  개,  개,00 대, 만원,300, 10만 ,5000,-선택사항- ,-선택사항-     ,0,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83
708,708,서울 강북구 00동,334, 31 개, 31 개,00 대,7000 만원,440,0,2억4천,-선택사항- ,-선택사항-     ,7000,24000,31,440,0,35,24000,440,103,4.1,5.3,9.3,11064,11064,11064,1030,922,759,5844,4548,2592,487,379,216,24,18,10
709,709,서울 중구 00동,430, 37 개, 37 개,00 대,8000 만원,530,0,3억5천,-선택사항- ,-선택사항-     ,8000,35000,37,530,0,41,35000,530,123,3.7,4.6,7.1,15468,15468,15468,1441,1289,1061,9456,7632,4896,788,636,408,27,21,13
710,710,서울 송파구 00동,330, 36 개, 21 개,00 대,6000 만원,500,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,500,0,42,24000,500,120,2.5,3,4.6,15420,15420,15420,1436,1285,1058,9792,7980,5256,816,665,438,40,33,21
711,711,서울 영등포구 00동,358, 43 개, 13 개,00 대,6000 만원,400,0,1억6천,-선택사항- ,-선택사항-     ,6000,16000,43,400,0,38,16000,400,143,1.3,1.6,2.2,16656,16656,16656,1552,1388,1143,12108,10140,7200,1009,845,600,75,63,45
712,712,서울 서초구 00동,332, 40 개,  개,00 대,6천 만원,470,50,1억9천5백,-선택사항- ,-선택사항-     ,6000,19500,40,470,50,45,19500,520,133,1.5,1.9,2.7,18360,18360,18360,1710,1530,1260,12684,10524,7284,1057,877,607,65,53,37
713,713,서울 구로구 00동,462, 41 개, 41 개,00 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30,36,41000,450,136,4.2,5.1,7.6,15048,15048,15048,1402,1254,1033,9792,8016,5364,816,668,447,23,19,13
714,714,서울 강서구 00동,322.7, 41 개, 9 개,없음 대,3000 만원,300,15,11500,-선택사항- ,-선택사항-     ,3000,11500,41,300,15,34,11500,315,136,1.1,1.3,1.8,14208,14208,14208,1324,1184,975,10476,8796,6288,873,733,524,91,76,54
715,715,서울 영등포구 00동,300, 34 개,  개,00 대,7천 만원,380,0,1억6천,-선택사항- ,-선택사항-     ,7000,16000,34,380,0,38,16000,380,113,1.8,2.2,3.2,13176,13176,13176,1227,1098,904,8808,7260,4932,734,605,411,55,45,30
716,716,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33
717,717,서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,630,183,1.1,1.4,2,23556,23556,23556,2194,1963,1617,16572,13800,9648,1381,1150,804,87,72,50
718,718,서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0,33,20000,450,120,3,3.8,6.4,12108,12108,12108,1128,1009,831,6696,5268,3132,558,439,261,33,26,15
719,719,서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0,38,27000,580,116,4,5.2,9.6,13560,13560,13560,1263,1130,930,6804,5208,2808,567,434,234,25,19,10
720,720,서울 강남구 서초동,390, 40 개, 25 개,1 대,6천 만원,480,40,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,480,40,48,19500,520,133,1.4,1.7,2.4,19584,19584,19584,1824,1632,1344,14052,11748,8292,1171,979,691,72,60,42
721,721,서울 광진구 00동,. ,  개,  개,00 대, 만원,580,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,580,0,39,20000,580,100,3.9,5.3,12,11928,11928,11928,1111,994,819,5172,3768,1668,431,314,139,25,18,8
722,722,서울 동작구 00동,. ,  개,  개,00 대, 만원,392,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,392,0,38,20000,392,100,2.8,3.5,5.4,11628,11628,11628,1083,969,798,7092,5724,3672,591,477,306,35,28,18
723,723,서울 중랑구 상봉동,370, 30 개, 큰30 개,1 대,5천 만원,380,20,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,380,20,32,27000,400,100,5.5,7.1,13.1,9792,9792,9792,912,816,672,4944,3792,2064,412,316,172,18,14,7
724,724,서울 동작구 동작동,440, 24 개, 큰24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30,38,24000,310,80,4.2,5.2,8.1,9300,9300,9300,866,775,638,5712,4620,2976,476,385,248,23,19,12
725,725,서울 강동구 서초동,390, 28 개, 28 개,1 대,7천 만원,510,40,합2억2천,-선택사항- ,-선택사항-     ,7000,22000,28,510,40,38,22000,550,93,5,7,18.2,10848,10848,10848,1010,904,744,4404,3132,1212,367,261,101,20,14,5
726,726,서울 서대문구 00동,450, 40 개,  개,00 대,5000 만원,410,0,21000,-선택사항- ,-선택사항-     ,5000,21000,40,410,0,39,21000,410,133,1.9,2.2,3.2,15912,15912,15912,1482,1326,1092,11268,9396,6588,939,783,549,53,44,31
727,727,서울 관악구 00동,350, 38 개,  개,00 대,5000 만원,400,0,18000,-선택사항- ,-선택사항-     ,5000,18000,38,400,0,33,18000,400,126,2.3,2.8,4.3,12780,12780,12780,1191,1065,877,7980,6468,4212,665,539,351,44,35,23
728,728,서울 광진구 00동,373.94, 42 개,  개,00 대,4000 만원,475, 60만원 ,34000,-선택사항- ,-선택사항-     ,4000,34000,42,475,60,39,34000,535,140,3.2,4,6,16704,16704,16704,1556,1392,1146,10572,8604,5652,881,717,471,31,25,16
729,729,서울 광진구 건대,410, 42 개, 42 개,1 대,4천 만원,475,60,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60,39,33000,535,140,3.1,3.8,5.8,16704,16704,16704,1556,1392,1146,10572,8604,5652,881,717,471,32,26,17
730,730,서울 서초구 00동,404.24, 50 개, 31 개,4 대,8500 만원,520, 51만원 ,23000,-선택사항- ,-선택사항-     ,8500,23000,50,520,51,45,23000,571,166,1.4,1.6,2.3,22944,22944,22944,2137,1912,1575,16800,14100,10056,1400,1175,838,73,61,43
731,731,서울 강남구 00동,246, 28 개, 14 개,없음 대,5500 만원,480, 7만 ,16000,-선택사항- ,-선택사항-     ,5500,16000,28,480,7,48,16000,487,93,1.9,2.4,3.7,13704,13704,13704,1276,1142,940,8352,6744,4320,696,562,360,52,42,27
732,732,서울 구로구 00동,500,  개,  개,00 대,7000 만원,450, 사용량에 따라 부과 ,1억3000,-선택사항- ,-선택사항-     ,7000,13000,0,450,0,36,13000,450,100,2.3,2.9,5.3,11016,11016,11016,1026,918,756,5712,4416,2472,476,368,206,43,33,19
733,733,서울 강남구 00동,300, 29 개,  개,00 대,6000 만원,500,0,26000,-선택사항- ,-선택사항-     ,6000,26000,29,500,0,48,26000,500,96,3,3.7,5.7,14196,14196,14196,1322,1183,974,8712,7044,4536,726,587,378,33,27,17
734,734,서울 동작구 00동,423.14, 54 개,  개,없음 대,4000 만원,500, 없음 ,22000,-선택사항- ,-선택사항-     ,4000,22000,54,500,0,38,22000,500,180,1.4,1.7,2.4,20928,20928,20928,1949,1744,1436,15228,12768,9072,1269,1064,756,69,58,41
735,735,서울 강남구 00동,200~ , 19 개,  개,00 대,5000 만원,300,0,21000,-선택사항- ,-선택사항-     ,5000,21000,19,300,0,48,21000,300,63,3.5,4.2,6.4,9300,9300,9300,866,775,638,6036,4944,3300,503,412,275,28,23,15
736,736,서울 강남구 00동,330, 37 개,  개,00 대,5000 만원,638,0,24000,-선택사항- ,-선택사항-     ,5000,24000,37,638,0,48,24000,638,123,2.2,2.7,4.1,18108,18108,18108,1687,1509,1243,11112,8976,5784,926,748,482,46,37,24
737,737,서울 강남구 00동,322.56, 48 개,  개,00 대,8000 만원,1100, 없음 ,47000,-선택사항- ,-선택사항-     ,8000,47000,48,1100,0,48,47000,1100,160,4.2,5.6,11.1,23496,23496,23496,2188,1958,1612,11136,8376,4224,928,698,352,23,17,8
738,738,서울 강서구 00동,199.02, 50 개,  개,00 대,8000 만원,390, 110만원 ,17000,-선택사항- ,-선택사항-     ,8000,17000,50,390,110,34,17000,500,166,1.5,1.8,2.7,17340,17340,17340,1615,1445,1190,11388,9348,6288,949,779,524,66,54,36
739,739,서울 동작구 00동,423.14, 53 개,  개,00 대,4000 만원,500, 없음 ,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0,38,21000,500,176,1.4,1.7,2.4,20532,20532,20532,1913,1711,1409,14844,12420,8796,1237,1035,733,70,59,41
740,740,서울 종로구 00동,300, 30 개, 30 개,00 대,3천 만원,220,20,합3억,-선택사항- ,-선택사항-     ,3000,30000,30,220,20,42,30000,240,100,2.9,3.4,4.6,12852,12852,12852,1197,1071,882,10284,8772,6504,857,731,542,34,29,21
741,741,서울 종로구 00동,90, 28 개, 4 개,노 대,4000 만원,220,  노 ,13500,4호선 ,-선택사항-     ,4000,13500,28,220,0,42,13500,220,93,1.4,1.6,2.2,11988,11988,11988,1117,999,823,9648,8232,6120,804,686,510,71,60,45
742,742,서울 서초구 00동,320, 27 개, 27 개,00 대,8000 만원,540,0,2억4천,-선택사항- ,-선택사항-     ,8000,24000,27,540,0,45,24000,540,90,3.8,5,9.1,12384,12384,12384,1154,1032,850,6288,4824,2640,524,402,220,26,20,11
743,743,서울 영등포구 00동,420, 35 개, 35 개,00 대,8000 만원,550,0,3억3천,-선택사항- ,-선택사항-     ,8000,33000,35,550,0,38,33000,550,116,4.6,5.9,10.4,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,21,16,9
744,744,서울 중구 00동,281.55,  개,  개,00 대,5000 만원,443,0,29000,-선택사항- ,-선택사항-     ,5000,29000,0,443,0,41,29000,443,100,3.9,4.8,7.6,12540,12540,12540,1168,1045,861,7500,6024,3816,625,502,318,25,20,13
745,745,서울 강북구 미아동,380.88, 50 개, 8 개,X 대,5천 만원,308, 63만원 ,1억2천,-선택사항- ,-선택사항-     ,5000,12000,50,308,63,35,12000,371,166,0.9,1.1,1.5,17844,17844,17844,1662,1487,1225,13500,11400,8256,1125,950,688,112,95,68
746,746,서울 금천구 00동,135,  개,  개,00 대,2000 만원,272,0,14000,-선택사항- ,-선택사항-     ,2000,14000,0,272,0,38,14000,272,100,1.6,2,2.7,11628,11628,11628,1083,969,798,8532,7164,5112,711,597,426,60,51,36
747,747,서울 서대문구 00동,250.25, 25 개,  개,00 대,1500 만원,180,0,8,-선택사항- ,-선택사항-     ,1500,80000,25,180,0,39,80000,180,83,10.1,11.8,15.9,9936,9936,9936,926,828,682,7956,6780,5028,663,565,419,9,8,6
748,748,서울 강남구 00동,330, 35 개, 20 개,00 대,6000 만원,480,0,2억1천,-선택사항- ,-선택사항-     ,6000,21000,35,480,0,48,21000,480,116,1.8,2.1,3,17136,17136,17136,1596,1428,1176,12000,9984,6960,1000,832,580,57,47,33
749,749,서울 서초구 서초동,203.7, 40 개, 26 개,2 대,6천 만원,575, 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0,45,20000,575,133,1.7,2,3,18360,18360,18360,1710,1530,1260,12024,9864,6624,1002,822,552,60,49,33
750,750,서울 관악구 00동,220, 36 개,  개,00 대,5000 만원,330,0,18000,-선택사항- ,-선택사항-     ,5000,18000,36,330,0,33,18000,330,120,2.2,2.7,3.9,12108,12108,12108,1128,1009,831,8136,6708,4572,678,559,381,45,37,25
751,751,서울 종로구 을지로3가,123.71, 40 개, 40 개,X 대,7천 만원,600, 포함 ,3억7천,-선택사항- ,-선택사항-     ,7000,37000,40,600,0,42,37000,600,133,3.6,4.4,7,17136,17136,17136,1596,1428,1176,10356,8340,5316,863,695,443,27,22,14
752,752,서울 관악구 00동,330, 38 개, 0 개,00 대,7000 만원,320,0,1억5500,-선택사항- ,-선택사항-     ,7000,15500,38,320,0,33,15500,320,126,1.7,2.1,3,12780,12780,12780,1191,1065,877,8940,7428,5172,745,619,431,57,47,33
753,753,서울 강남구 00동,396, 40 개, 0 개,00 대,6000 만원,520,0,2억,-선택사항- ,-선택사항-     ,6000,20000,40,520,0,48,20000,520,133,1.4,1.7,2.4,19584,19584,19584,1824,1632,1344,14052,11748,8292,1171,979,691,70,58,41
754,754,서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0,42,18000,450,120,1.7,2.1,3.1,15420,15420,15420,1436,1285,1058,10392,8580,5856,866,715,488,57,47,32
755,755,서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,550,116,3.9,5,8.8,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,25,19,11
756,756,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14
757,757,서울 강서구 화곡동,189.12, 35 개, 6 개,00 대,3000 만원,290,0,10000,-선택사항- ,-선택사항-     ,3000,10000,35,290,0,34,10000,290,116,1.2,1.4,2,12132,12132,12132,1130,1011,833,8688,7260,5124,724,605,427,86,72,51
758,758,서울 강동구 00동,370, 57 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,57,330,0,38,14000,330,190,0.8,0.9,1.2,22092,22092,22092,2057,1841,1516,18444,15852,11952,1537,1321,996,131,113,85
759,759,서울 강서구 등촌동,398.04, 60 개, 8 개,00 대,8000 만원,390,110,16000,-선택사항- ,-선택사항-     ,8000,16000,60,390,110,34,16000,500,200,1.1,1.3,1.8,20808,20808,20808,1938,1734,1428,14856,12408,8736,1238,1034,728,92,77,54
760,760,서울 금천구 시흥동,371.44, 44 개, 7 개,00 대,5000 만원,400,70,11000,-선택사항- ,-선택사항-     ,5000,11000,44,400,70,38,11000,470,146,0.9,1.1,1.7,17052,17052,17052,1588,1421,1170,11664,9660,6648,972,805,554,106,87,60
761,761,서울 영등포구 도림동,246.04, 45 개, 7 개,00 대,3000 만원,260,0,9000,-선택사항- ,-선택사항-     ,3000,9000,45,260,0,38,9000,260,150,0.6,0.7,1,17436,17436,17436,1624,1453,1197,14568,12516,9444,1214,1043,787,161,139,104
762,762,서울 영등포구 당산동1가,249.9, 40 개, 7 개,00 대,3000 만원,240,10,10000,-선택사항- ,-선택사항-     ,3000,10000,40,240,10,38,10000,250,133,0.8,0.9,1.2,15504,15504,15504,1444,1292,1064,12732,10908,8172,1061,909,681,127,109,81
763,763,서울 서대문구 00동,450, 41 개, 43 개,3 대,4000 만원,450, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,41,450,0,39,20000,450,136,1.8,2.2,3.1,16308,16308,16308,1519,1359,1119,11196,9276,6396,933,773,533,55,46,31
764,764,서울 중구 00동,130평 ,  개,  개,00 대,3000 만원,420,0,25000,-선택사항- ,-선택사항-     ,3000,25000,0,420,0,41,25000,420,100,3.2,4,6.1,12540,12540,12540,1168,1045,861,7776,6300,4092,648,525,341,31,25,16
765,765,서울 영등포구 00동,80평 ,  개,  개,00 대,7000 만원,380,0,16000,-선택사항- ,-선택사항-     ,7000,16000,0,380,0,38,16000,380,100,2.2,2.7,4.2,11628,11628,11628,1083,969,798,7236,5868,3816,603,489,318,45,36,23
766,766,서울 강서구 00동,100평 ,  개,  개,00 대,9000 만원,473,0,17000,-선택사항- ,-선택사항-     ,9000,17000,0,473,0,34,17000,473,100,3.6,4.8,10,10404,10404,10404,969,867,714,4752,3528,1692,396,294,141,27,20,9
767,767,서울 강남구 00동,. , 29 개, . 개,. 대,. 만원, . , . ,2억,2호선 강남역,-선택사항-     ,0,20000,29,0,0,48,20000,0,96,1.4,1.5,1.9,14196,14196,14196,1322,1183,974,14712,13044,10536,1226,1087,878,73,65,52
768,768,서울 영등포구 00동,80평 ,  개,  개,00 대,3000 만원,240,0,11000,-선택사항- ,-선택사항-     ,3000,11000,0,240,0,38,11000,240,100,1.2,1.5,2,11628,11628,11628,1083,969,798,8916,7548,5496,743,629,458,81,68,49
769,769,서울 마포구 00동,200평 ,  개,  개,00 대,7,['000 만원'],None,46,-선택사항- ,-선택사항-     ,7000,46000,0,0,0,40,46000,0,100,3.7,4.2,5.2,12240,12240,12240,1140,1020,840,12480,11040,8880,1040,920,740,27,24,19
770,770,서울 금천구 00동,330, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20,38,16000,460,156,1.2,1.5,2.1,18216,18216,18216,1696,1518,1250,12960,10824,7608,1080,902,634,81,67,47
771,771,서울 동작구 00동,180, 24 개,  개,00 대,5000 만원,250,0,14000,-선택사항- ,-선택사항-     ,5000,14000,24,250,0,38,14000,250,80,2.2,2.6,3.8,9300,9300,9300,866,775,638,6432,5340,3696,536,445,308,45,38,26
772,772,서울 강서구 00동,440, 40 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,40,330,0,34,14000,330,133,1.4,1.7,2.4,13872,13872,13872,1292,1156,951,9948,8316,5856,829,693,488,71,59,41
773,773,서울 강동구 00동,240, 31 개,  개,00 대,3000 만원,200,0,8000,-선택사항- ,-선택사항-     ,3000,8000,31,200,0,38,8000,200,103,0.8,1,1.3,12012,12012,12012,1119,1001,824,9792,8376,6252,816,698,521,122,104,78
774,774,서울 강동구 00동,250, 30 개,  개,00 대,3000 만원,350,0,16000,-선택사항- ,-선택사항-     ,3000,16000,30,350,0,38,16000,350,100,2.1,2.6,3.8,11628,11628,11628,1083,969,798,7596,6228,4176,633,519,348,47,38,26
775,775,서울 강동구 00동,260, 32 개,  개,00 대,3000 만원,350,0,15000,-선택사항- ,-선택사항-     ,3000,15000,32,350,0,38,15000,350,106,1.8,2.2,3.2,12396,12396,12396,1155,1033,851,8388,6924,4740,699,577,395,55,46,31
776,776,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33
777,777,서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0,36,17000,380,133,1.7,2,2.9,14688,14688,14688,1368,1224,1007,10260,8532,5928,855,711,494,60,50,34
778,778,서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,630,183,1.1,1.4,2,23556,23556,23556,2194,1963,1617,16572,13800,9648,1381,1150,804,87,72,50
779,779,서울 동작구 00동,334, 31 개, 31 개,00 대,4000 만원,392, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,31,392,0,38,20000,392,103,2.7,3.3,5.1,12012,12012,12012,1119,1001,824,7488,6072,3948,624,506,329,37,30,19
780,780,서울 영등포구 00동,157.7, 40 개, 20 개,00 대,5000 만원,400, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,40,400,0,38,10000,400,133,0.9,1.1,1.6,15504,15504,15504,1444,1292,1064,10932,9108,6372,911,759,531,109,91,63
781,781,서울 동작구 00동,278, 38 개, 38 개,00 대,5000 만원,460, 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,38,460,0,38,20000,460,126,2.1,2.6,3.9,14724,14724,14724,1371,1227,1010,9420,7692,5088,785,641,424,47,38,25
782,782,서울 양천구 00동,390, 40 개,  개,00 대,4000 만원,370,0,14000,-선택사항- ,-선택사항-     ,4000,14000,40,370,0,35,14000,370,133,1.4,1.7,2.5,14280,14280,14280,1330,1190,979,9924,8244,5712,827,687,476,70,58,40
783,783,서울 종로구 00동,360, 38 개,  개,00 대,6000 만원,420,0,25000,-선택사항- ,-선택사항-     ,6000,25000,38,420,0,42,25000,420,126,2.1,2.6,3.6,16272,16272,16272,1516,1356,1117,11640,9720,6852,970,810,571,46,38,27
784,784,서울 종로구 영등포동,500, 50 개, 원50 개,1 대,* 만원,690,50,합3억1천,-선택사항- ,-선택사항-     ,0,31000,50,690,50,42,31000,740,166,2.4,2.9,4.6,21420,21420,21420,1995,1785,1470,13068,10548,6768,1089,879,564,42,34,21
785,785,서울 영등포구 영등포동,370, 40 개, 원13 개,1 대,2500 만원,190,20,합1억7천,-선택사항- ,-선택사항-     ,2500,17000,40,190,20,38,17000,210,133,1.3,1.5,2,15504,15504,15504,1444,1292,1064,13212,11388,8652,1101,949,721,77,66,50
786,786,서울 강남구 서초동,390, 40 개, 원25 개,1 대,8천 만원,490,40,합1억9500,-선택사항- ,-선택사항-     ,8000,19500,40,490,40,48,19500,530,133,1.4,1.7,2.4,19584,19584,19584,1824,1632,1344,13932,11628,8172,1161,969,681,71,59,41
787,787,서울 광진구 중곡동,330, 34 개, 원17 개,1 대,5천 만원,360,30,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30,39,12000,390,113,1.3,1.6,2.4,13524,13524,13524,1259,1127,928,9072,7488,5100,756,624,425,75,62,42
788,788,서울 송파구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30,42,33000,400,100,3.9,4.8,7.2,12852,12852,12852,1197,1071,882,8364,6852,4584,697,571,382,25,20,13
789,789,서울 강북구 00동,244,  개,  개,00 대,3000 만원,346,0,1억4000,-선택사항- ,-선택사항-     ,3000,14000,0,346,0,35,14000,346,100,2.1,2.6,4,10704,10704,10704,997,892,735,6612,5352,3468,551,446,289,47,38,24
790,790,서울 중구 00동,280.35, 28 개, 0 개,00 대,3000 만원,275,0,26000,-선택사항- ,-선택사항-     ,3000,26000,28,275,0,41,26000,275,93,3,3.6,5,11700,11700,11700,1090,975,803,8664,7284,5220,722,607,435,33,28,20
791,791,서울 중랑구 00동,150,  개,  개,00 대, 만원,190, 5만원 ,7500,-선택사항- ,-선택사항-     ,0,7500,0,190,5,32,7500,195,100,1,1.2,1.7,9792,9792,9792,912,816,672,7404,6252,4524,617,521,377,98,83,60
792,792,서울 동작구 00동,217,  개,  개,00 대,3000 만원,200, 없음 ,3000,-선택사항- ,-선택사항-     ,3000,3000,0,200,0,38,3000,200,100,0.3,0.4,0.5,11628,11628,11628,1083,969,798,9396,8028,5976,783,669,498,313,267,199
793,793,서울 중구 00동,224.85, 35 개, 0 개,16 대,5000 만원,443,0,19000,-선택사항- ,-선택사항-     ,5000,19000,35,443,0,41,19000,443,116,2,2.4,3.6,14628,14628,14628,1363,1219,1004,9648,7920,5340,804,660,445,50,41,28
794,794,서울 노원구 00동,280,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83
795,795,서울 광진구 00동,290,  개, 29 개,1 대,4000 만원,400,0,18000,-선택사항- ,-선택사항-     ,4000,18000,0,400,0,39,18000,400,100,2.5,3,4.7,11928,11928,11928,1111,994,819,7332,5928,3828,611,494,319,40,32,21
