,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리
1062,서울,서울 동작구 만양로14마길 6-5,N,천안명품원룸텔,빈방없음,['29개'],월세  25~38,Y,8,공용,N
1063,충남,충남 천안시 서북구 검은들1길 9,7호선 상도역,라이트하우스 상도역점,빈방없음,['70개'],월세  38~45,Y,N,공용,N
1064,서울,서울 동작구 상도로41마길 12,N,명문고시텔,1개,['20개'],월세  18~25,Y,5,공용,N
1065,충남,충남 당진시 북문길 1-18,2호선 신촌역,하이레지던스 신촌점,1개,['32개'],월세  35~37,Y,N,공용,N
1066,서울,서울 서대문구 연세로7길 14,1호선 두정역,오픈하우스 천안두정역점,1개,['38개'],월세  30~45,Y,6,공용,N
1067,충남,충남 천안시 서북구 두정역길 17,인천1호선 부평시장역,거성고시원,빈방없음,['40개'],월세  18~25,Y,N,공용,N
1068,인천,인천 부평구 대정로 37,N,큐브레지던스텔,빈방없음,['20개'],월세  30~50,Y,5,공용,N
1069,충남,충남 천안시 서북구 부성2길 40,N,유진고시텔,1개,['25개'],월세  28~40,Y,5,공용,N
1070,충남,충남 천안시 동남구 각원사길 56,N,예다움원룸텔,빈방없음,['25개'],월세  30~45,Y,N,공용,N
1071,인천,인천 계양구 오조산로45번길 12,1호선 동암역,우연히 원룸텔,1개,['48개'],월세  18~35,Y,N,공용,N
1072,인천,인천 부평구 동암광장로14번길 7,N,더힐스 여성전용원룸텔 ,빈방없음,['9개'],월세  37~38,Y,N,여성전용,N
1073,경기,경기 안산시 단원구 광덕대로 138,N,갤럭시고시텔,1개,['88개'],월세  25~30,Y,5,공용,N
1074,충남,충남 천안시 서북구 성정중4길 16,1호선 백운역,백운고시원,빈방없음,['30개'],월세  20~30,Y,N,공용,N
1075,인천,인천 부평구 마장로 75,1호선 부평역,뉴욕리빙텔,빈방없음,['51개'],월세  36~40,Y,N,공용,N
1076,인천,인천 부평구 경원대로 1430,대구1호선 중앙로역,시티빌고시원,빈방없음,['45개'],월세  18~28,Y,N,공용,Y
1077,대구,대구 중구 동성로12길 16,1호선 회기역,오투원룸텔 회기역점,1개,['40개'],월세  30~35,Y,5,공용,Y
1078,서울,서울 동대문구 회기로31길 3,N,드림고시텔,1개,['40개'],월세  17~20,Y,10,공용,Y
1079,대구,대구 북구 동북로 219,N,뉴대경여성전용고시원,1개,['25개'],월세  18~20,Y,5,여성전용,N
1080,대구,대구 북구 동북로299,대구1호선 반월당역,퀸스여성전용고시원,1개,['25개'],월세  20~30,Y,N,여성전용,N
1081,대구,대구 중구 봉산문화길 99,대구1호선 신천역,성균관고시원,1개,['50개'],월세  15~36,Y,N,공용,Y
1082,대구,대구 동구 송라로 42-1,1호선 부평역,동양리빙텔,빈방없음,['26개'],월세  22~36,Y,N,공용,N
1083,인천,인천 부평구 장제로27번길 57,2호선 까치산역,코아리빙텔 여성전용,1개,['30개'],월세  25~42,Y,14,여성전용,N
1084,서울,서울 강서구 강서로53,2호선 구로디지털단지역,멤버스원룸텔 구로디지털단지역점,빈방없음,['41개'],월세  35~40,Y,N,공용,N
1085,서울,서울 구로구 디지털로32가길 53,분당선 이매역,분당레지던스,빈방없음,['24개'],월세  50~60,Y,2,공용,N
1086,경기,경기 성남시 분당구 이매로 15,4호선 고잔역,빌라엠M원룸텔,빈방없음,['36개'],월세  37~40,Y,10,공용,N
1087,경기,경기 안산시 단원구 광덕대로 161,분당선 태평역,연 싱글하우스,빈방없음,['36개'],월세  40~60,Y,N,공용,N
1088,경기,경기 성남시 수정구 수정로 135번길 3,N,마이홈고시텔,빈방없음,['28개'],월세  15~25,Y,N,공용,N
1089,경기,경기 수원시 영통구 동수원로 514,1호선 명학역,해피하우스,빈방없음,['68개'],월세  22~40,Y,5,공용,Y
1090,경기,경기 안양시 만안구 문예로36번길 11,7호선 광명사거리역,정일고시텔,빈방없음,['56개'],월세  20~31,Y,N,공용,Y
1091,경기,경기 광명시 오리로963번길 8,7호선 광명사거리역,바나바원룸텔,빈방없음,['26개'],월세  30~45,Y,N,공용,N
1092,경기,경기 광명시 광명로 841,7호선 광명사거리역,아침해고시텔,1개,['40개'],월세  21~38,Y,N,공용,Y
1093,경기,경기 광명시 광명로 917,5호선 신정역,바른나무 스터디텔,1개,['34개'],월세  22~28,Y,2,공용,N
1094,서울,서울 양천구 신월로 350,7호선 광명사거리역,소망고시원,빈방없음,['34개'],월세  18~40,Y,N,공용,N
1095,경기,경기 광명시 광명로 911,6호선 안암역,명문고시원,빈방없음,['45개'],월세  19~25,Y,N,공용,N
1096,서울,서울 성북구 안암로 117,4호선 총신대입구(이수)역,이삭고시원,빈방없음,['50개'],월세  20~29,Y,N,공용,N
1097,서울,서울 동작구 동작대로29나길 15,5호선 마천역,미래고시원,빈방없음,['40개'],월세  20~28,Y,4,공용,N
1098,서울,서울 송파구 마천로41길 25,N,유럽풍원룸텔,1개,['40개'],월세  26~30,Y,20,공용,Y
1099,충남,충남 천안시 동남구 가마골2길 6,3호선 금호역,해피고시텔,3개,['39개'],월세  24~30,Y,N,공용,N
