연번,상호,업종,법정동 주소
95,스마텔고시원,고시원업,서울특별시 종로구 동숭동 1-50
96,스카이빌,고시원업,서울특별시 종로구 명륜1가 10-39
97,혜원고시원,고시원업,서울특별시 종로구 혜화동 74-12
98,이화고시원,고시원업,서울특별시 종로구 이화동 28-18
99,이삭리빙텔,고시원업,서울특별시 종로구 종로3가 132-1
100,두리고시원,고시원업,서울특별시 종로구 숭인동 211-17
101,리치스터디텔,고시원업,서울특별시 종로구 명륜1가 16-10
102,나무그늘원룸텔,고시원업,서울특별시 종로구 숭인동 218
103,시티원룸텔,고시원업,서울특별시 종로구 관철동 19-6
104,대성고시텔,고시원업,서울특별시 종로구 익선동 33-21
105,애플원룸텔,고시원업,서울특별시 종로구 숭인동 200-33
106,명가고시원,고시원업,서울특별시 종로구 명륜3가 5
107,블루밍,고시원업,서울특별시 종로구 명륜2가 43-1
108,이례원룸텔,고시원업,서울특별시 종로구 익선동 33-7
109,이삭고시텔,고시원업,서울특별시 종로구 관훈동 198-17
110,혜성고시원,고시원업,서울특별시 종로구 혜화동 79-2
111,중앙레지던스,고시원업,서울특별시 종로구 관수동 15
112,오투원룸텔,고시원업,서울특별시 종로구 묘동 112
113,솔내음,고시원업,서울특별시 종로구 익선동 33-8
114,영신주택,고시원업,서울특별시 종로구 혜화동 80-1
115,라임하우스,고시원업,서울특별시 종로구 명륜2가 222
116,호스텔코리아,고시원업,서울특별시 종로구 숭인동 178-65
117,소호고시텔,고시원업,서울특별시 종로구 청진동 6
118,에덴고시원(구.해피하우스),고시원업,서울특별시 종로구 숭인동 178-70
119,까사미아리빙텔,고시원업,서울특별시 종로구 충신동 25-11
120,노블레지던스,고시원업,서울특별시 종로구 종로6가 239-39
121,아트빌고시원,고시원업,서울특별시 종로구 이화동 93-10
122,화이트빌,고시원업,서울특별시 종로구 명륜2가 208-1
123,낙원고시텔,고시원업,서울특별시 종로구 낙원동 150-1
124,보령고시원,고시원업,서울특별시 종로구 연지동 59
125,미블레스,고시원업,서울특별시 종로구 명륜4가 70-4
126,마이홈리빙텔,고시원업,서울특별시 종로구 낙원동 235-11
127,드림빌원룸텔고시원,고시원업,서울특별시 종로구 명륜2가 184
128,홍레,고시원업,서울특별시 종로구 숭인동 178-80
129,코코리빙텔,고시원업,서울특별시 종로구 명륜2가 218
130,한양신개념고시텔,고시원업,서울특별시 종로구 낙원동 232
131,쉐르빌리빙텔,고시원업,서울특별시 종로구 동숭동 192-18
132,코니하우스,고시원업,서울특별시 종로구 동숭동 1-43
133,수도고시원,고시원업,서울특별시 종로구 종로6가 33-5
134,예일고시원,고시원업,서울특별시 종로구 숭인동 177-2
135,예그린하우스,고시원업,서울특별시 종로구 동숭동 1-145
136,파고다테크,고시원업,서울특별시 종로구 낙원동 207
137,마이빌원룸텔,고시원업,서울특별시 종로구 종로6가 210-11
138,아이비하우스,고시원업,서울특별시 종로구 명륜2가 177
139,참꿈원룸텔(구.더하우스리빙텔),고시원업,서울특별시 종로구 명륜2가 21-23
140,파인하우스,고시원업,서울특별시 종로구 숭인동 298-2
141,하버드고시원,고시원업,서울특별시 종로구 명륜4가 188-20
142,한정고시원,고시원업,서울특별시 종로구 숭인동 1243
143,그린하우스,고시원업,서울특별시 종로구 종로5가 85-3
144,동대문웰빙텔,고시원업,서울특별시 종로구 창신동 448-6
145,오투원룸텔,고시원업,서울특별시 종로구 내자동 145
146,마이홈리빙텔,고시원업,서울특별시 종로구 운니동 14
147,해피하우스(다솔리빙텔),고시원업,서울특별시 종로구 동숭동 1-50
148,광성원룸텔,고시원업,서울특별시 종로구 구기동 85-24
149,풀하우스,고시원업,서울특별시 종로구 명륜2가 8-28
150,멀티하우스,고시원업,서울특별시 종로구 낙원동 146
