,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
50,서울 동대문구 00동,422 , 30중� 개,  개,5 대,7000 만원, 410 , 00 ,28000,-선택사항- ,-선택사항-     ,7000,28000,30,410,0
51,서울 종로구 00동,287 , 60개� 개,  개,00 대,7000 만원, 600 , 00 ,36000,-선택사항- ,-선택사항-     ,7000,36000,60,600,0
52,서울 종로구 00동,235 , 20 개,  개,44 대,6000 만원, 300 , 00 ,15500,-선택사항- ,-선택사항-     ,6000,15500,20,300,0
53,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
54,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
55,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
56,서울 서초구 이수역,130평 , 43 개,  개,00 대, 만원, 650 , 00 ,3억5천,-선택사항- ,-선택사항-     ,0,35000,43,650,0
57,서울 강남구 00동,460 , 48 개, 48 개,00 대,1억2천 만원, 790 , 50 ,4억2천,-선택사항- ,-선택사항-     ,12000,42000,48,790,50
58,서울 송파구 00동,313 , 30 개, 30 개,00 대,5천 만원, 370 , 30 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,30,370,30
59,서울 성동구 00동,376 , 42 개, 42 개,00 대,4천 만원, 470 , 60 ,3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,470,60
60,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
61,서울 구로구 00동,462 , 41 개, 41 개,00 대,5천 만원, 420 , 30 ,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30
62,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
63,서울 송파구 00동,330 , 35 개, 21 개,00 대,5000 만원, 470 , 00 ,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0
